modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Withington,2/8/1341,2,4,2,8,1341,1341/8/2,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,2/9/1339,2,4,2,9,1339,1339/9/2,52.327826,-2.2508729,Worcestershire,,
Withington,2/9/1341,2,4,2,9,1341,1341/9/2,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,20/1/1341,3,5,20,1,1341,1341/1/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/1/1344,3,5,20,1,1344,1344/1/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/1/1349,3,5,20,1,1349,1349/1/20,52.327826,-2.2508729,Worcestershire,,
Powick,20/10/1339,3,6,20,10,1339,1339/10/20,52.157012,-2.2499105,Worcestershire,,
Kennington,20/10/1342,3,6,20,10,1342,1342/10/20,51.714328,-1.2487393,Berkshire,several places,
Gimingham,20/10/1343,3,6,20,10,1343,1343/10/20,52.873127,1.386457,Norfolk,,
Hartlebury,20/11/1348,3,6,20,11,1348,1348/11/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/12/1343,3,6,20,12,1343,1343/12/20,52.327826,-2.2508729,Worcestershire,,
Sutton Coldfield,20/12/1343,3,6,20,12,1343,1343/12/20,52.561703,-1.8244144,Warwickshire,,
Hartlebury,20/12/1345,3,6,20,12,1345,1345/12/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/12/1348,3,6,20,12,1348,1348/12/20,52.327826,-2.2508729,Worcestershire,,
Fairford,20/2/1340,3,5,20,2,1340,1340/2/20,51.698548,-1.7843625,Gloucestershire,,
Hartlebury,20/2/1349,3,5,20,2,1349,1349/2/20,52.327826,-2.2508729,Worcestershire,,
Berkhamstead,20/3/1339,3,5,20,3,1339,1339/3/20,51.762118,-0.5814044,Hertfordshire,error 1115,
Hartlebury,20/3/1341,3,5,20,3,1341,1341/3/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/3/1342,3,5,20,3,1342,1342/3/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/3/1344,3,5,20,3,1344,1344/3/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/3/1345,3,5,20,3,1345,1345/3/20,52.327826,-2.2508729,Worcestershire,1236,
Hartlebury,20/3/1346,3,5,20,3,1346,1346/3/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/3/1349,3,5,20,3,1349,1349/3/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/4/1345,3,5,20,4,1345,1345/4/20,52.327826,-2.2508729,Worcestershire,?,
Llanthony next Gloucester,20/4/1345,3,5,20,4,1345,1345/4/20,51.860322,-2.2482616,Gloucestershire,1085,
Bredon,20/5/1339,3,5,20,5,1339,1339/5/20,52.022359,-2.1179982,Worcestershire,,
Blockley,20/5/1344,3,5,20,5,1344,1344/5/20,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Alvechurch,20/5/1348,3,5,20,5,1348,1348/5/20,52.34607,-1.9720644,Worcestershire,,
Bredon,20/6/1339,3,5,20,6,1339,1339/6/20,52.022359,-2.1179982,Worcestershire,1127,
Blockley,20/6/1340,3,5,20,6,1340,1340/6/20,52.00421,-1.768331,"Worcs (det), locally in Gloucs",152,
Henbury,20/6/1340,3,5,20,6,1340,1340/6/20,51.499215,-2.6352549,Gloucestershire,,
Blockley,20/6/1341,3,5,20,6,1341,1341/6/20,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Cofton,20/6/1343,3,5,20,6,1343,1343/6/20,53.648131,-1.426612,"Yorkshire, West Riding",,
Bredon,20/6/1345,3,5,20,6,1345,1345/6/20,52.022359,-2.1179982,Worcestershire,,
Bredon,20/6/1346,3,5,20,6,1346,1346/6/20,52.022359,-2.1179982,Worcestershire,,
Hartlebury,20/6/1347,3,5,20,6,1347,1347/6/20,52.327826,-2.2508729,Worcestershire,1297,
Bredon,20/7/1339,3,5,20,7,1339,1339/7/20,52.022359,-2.1179982,Worcestershire,1126,
Blockley,20/7/1340,3,5,20,7,1340,1340/7/20,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Kidderminster,20/7/1340,3,5,20,7,1340,1340/7/20,52.381734,-2.2658701,Worcestershire,,
Hartlebury,20/7/1349,3,5,20,7,1349,1349/7/20,52.327826,-2.2508729,Worcestershire,,
Hartlebury,20/8/1347,3,5,20,8,1347,1347/8/20,52.327826,-2.2508729,Worcestershire,,
Tewkesbury,20/8/1347,3,5,20,8,1347,1347/8/20,51.986345,-2.1615883,Gloucestershire,,
Gloucester,20/9/1342,3,5,20,9,1342,1342/9/20,51.860322,-2.2482616,Gloucestershire,,
Bishops Cleeve,20/9/1343,3,5,20,9,1343,1343/9/20,51.947366,-2.060942,,,
Arrow,21/1/1343,3,5,21,1,1343,1343/1/21,52.202186,-1.8989933,Warwickshire,,
Wick by Worcester,21/1/1347,3,5,21,1,1347,1347/1/21,52.174992,-2.2500114,Worcestershire,,
Hartlebury,21/1/1349,3,5,21,1,1349,1349/1/21,52.327826,-2.2508729,Worcestershire,,
Longdon,21/10/1339,3,6,21,10,1339,1339/10/21,52.022154,-2.2491575,Worcestershire,,
Alvechurch,21/10/1340,3,6,21,10,1340,1340/10/21,52.34607,-1.9720644,Worcestershire,,
Hartlebury,21/10/1341,3,6,21,10,1341,1341/10/21,52.327826,-2.2508729,Worcestershire,,
Hartlebury,21/10/1341,3,6,21,10,1341,1341/10/21,52.327826,-2.2508729,Worcestershire,,
Hartlebury,21/12/1342,3,6,21,12,1342,1342/12/21,52.327826,-2.2508729,Worcestershire,,
